id,BookTitle,Author,Year,GivenRating,ReviewText,ReviewDate
151,Don't Let the Pigeon Drive the Bus!,Mo Willems,2003,3.3,This book was SO BAD.  [Review]  'Don't Let the Pigeon Drive the Bus!' by Mo Willems ??? http://buybook.com,2023-09-01
152,The Polar Express,Chris Van Allsburg,1985,4.3,This book was MAGICAL.  [spoiler]  'The Polar Express' by Chris Van Allsburg ### http://buybook.com,2024-02-03
153,The Phantom Tollbooth,Norton Juster,1961,3.2,This book was SO BAD.  [Review]  'The Phantom Tollbooth' by Norton Juster ... ✨,2023-05-24
154,"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,1932,4.2,"This book was BORING.  [skip this part]  'Little House in the Big Woods (Little House, #1)' by Laura Ingalls Wilder ... #reading",2023-11-21
155,"Go, Dog. Go!",P.D. Eastman,1961,5.0,"This book was SO BAD.  [spoiler]  'Go, Dog. Go!' by P.D. Eastman ### #reading",2025-04-05
156,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,1900,5.0,"This book was MAGICAL.  [Review]  'The Wonderful Wizard of Oz (Oz, #1)' by L. Frank Baum ### #reading",2025-03-03
157,The Rainbow Fish,Marcus Pfister,1992,5.0,This book was SO BAD.  [Review]  'The Rainbow Fish' by Marcus Pfister !!! 💯,2024-03-12
158,"The Giver (The Giver, #1)",Lois Lowry,1993,5.0,"This book was LOVED IT.  [spoiler]  'The Giver (The Giver, #1)' by Lois Lowry ... @friend",2024-02-09
159,The Story of Ferdinand,Munro Leaf,1936,4.4,This book was SO BAD.  [spoiler]  'The Story of Ferdinand' by Munro Leaf @@@ 💯,2024-05-01
160,The Night Before Christmas,Clement Clarke Moore,1823,4.4,This book was LOVED IT.  [note]  'The Night Before Christmas' by Clement Clarke Moore ... @friend,2025-03-18
161,Bridge to Terabithia,Katherine Paterson,1977,4.0,This book was MAGICAL.  [Review]  'Bridge to Terabithia' by Katherine Paterson ... 💯,2025-01-10
162,Blueberries for Sal,Robert McCloskey,1948,5.0,This book was MAGICAL.  [Review]  'Blueberries for Sal' by Robert McCloskey !!! http://buybook.com,2023-12-28
163,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,1940,5.0,"This book was SO BAD.  [note]  'Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business' by Esphyr Slobodkina ### @friend",2023-09-10
164,The Witches,Roald Dahl,1983,5.0,This book was AMAZING.  [spoiler]  'The Witches' by Roald Dahl !!! #reading,2025-01-17
165,Clifford the Big Red Dog,Norman Bridwell,1963,3.2,This book was BORING.  [skip this part]  'Clifford the Big Red Dog' by Norman Bridwell ... @friend,2023-08-23
166,Fox in Socks,Dr. Seuss,1965,4.1,This book was MAGICAL.  [spoiler]  'Fox in Socks' by Dr. Seuss ??? #reading,2023-01-16
167,"Little Bear (Little Bear, #1)",Else Holmelund Minarik,1957,4.2,"This book was MAGICAL.  [Review]  'Little Bear (Little Bear, #1)' by Else Holmelund Minarik @@@ http://buybook.com",2025-05-26
168,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,5.0,"This book was AMAZING.  [spoiler]  'The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)' by C.S. Lewis !!! 💯",2025-03-24
169,The Paper Bag Princess,Robert Munsch,1980,4.3,This book was SO BAD.  [spoiler]  'The Paper Bag Princess' by Robert Munsch ??? 💯,2024-04-28
170,"The Snowy Day (Peter, #1)",Ezra Jack Keats,1962,4.2,"This book was BORING.  [note]  'The Snowy Day (Peter, #1)' by Ezra Jack Keats ??? @friend",2024-11-08
171,Tikki Tikki Tembo,Arlene Mosel,1968,4.2,This book was MAGICAL.  [spoiler]  'Tikki Tikki Tembo' by Arlene Mosel ??? @friend,2024-01-06
172,A Bad Case of Stripes (Scholastic Bookshelf),David Shannon,1998,4.3,This book was SO BAD.  [skip this part]  'A Bad Case of Stripes (Scholastic Bookshelf)' by David Shannon ??? ✨,2023-08-08
173,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,1926,4.4,"This book was SO BAD.  [spoiler]  'Winnie-the-Pooh (Winnie-the-Pooh, #1)' by A.A. Milne !!! #reading",2025-06-24
174,Chrysanthemum,Kevin Henkes,1991,4.3,This book was SO BAD.  [skip this part]  'Chrysanthemum' by Kevin Henkes @@@ ✨,2023-05-18
175,"Miss Nelson Is Missing! (Miss Nelson, #1)",Harry Allard,1977,4.3,"This book was MAGICAL.  [Review]  'Miss Nelson Is Missing! (Miss Nelson, #1)' by Harry Allard ### @friend",2023-11-28
176,Falling Up,Shel Silverstein,1996,5.0,This book was SO BAD.  [spoiler]  'Falling Up' by Shel Silverstein ### @friend,2024-09-09
177,"Click, Clack, Moo: Cows That Type",Doreen Cronin,2000,5.0,"This book was BORING.  [spoiler]  'Click, Clack, Moo: Cows That Type' by Doreen Cronin ??? @friend",2025-04-30
178,The Tale of Despereaux,Kate DiCamillo,2003,4.1,This book was AMAZING.  [note]  'The Tale of Despereaux' by Kate DiCamillo ### 💯,2025-04-03
179,The Sneetches and Other Stories,Dr. Seuss,1961,5.0,This book was AMAZING.  [skip this part]  'The Sneetches and Other Stories' by Dr. Seuss @@@ 💯,2025-01-01
180,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,1967,5.0,This book was BORING.  [note]  'From the Mixed-Up Files of Mrs. Basil E. Frankweiler' by E.L. Konigsburg ... @friend,2023-08-02
181,"The Story of Babar (Babar, #1)",Jean de Brunhoff,1931,4.1,"This book was AMAZING.  [Review]  'The Story of Babar (Babar, #1)' by Jean de Brunhoff @@@ 💯",2023-09-10
182,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,1980,4.9,"This book was LOVED IT.  [spoiler]  'The Indian in the Cupboard (The Indian in the Cupboard, #1)' by Lynne Reid Banks ### #reading",2024-11-10
183,The Adventures of Tom Sawyer,Mark Twain,1876,3.9,This book was LOVED IT.  [skip this part]  'The Adventures of Tom Sawyer' by Mark Twain ... 💯,2023-11-25
184,"The Mouse and the Motorcycle (Ralph S. Mouse, #1)",Beverly Cleary,1965,4.0,"This book was LOVED IT.  [spoiler]  'The Mouse and the Motorcycle (Ralph S. Mouse, #1)' by Beverly Cleary ??? ✨",2023-06-19
185,"Olivia (Olivia, #1)",Ian Falconer,2000,4.2,"This book was MAGICAL.  [Review]  'Olivia (Olivia, #1)' by Ian Falconer ... #reading",2025-01-01
186,"Sideways Stories from Wayside School (Wayside School, #1)",Louis Sachar,1978,3.2,"This book was LOVED IT.  [Review]  'Sideways Stories from Wayside School (Wayside School, #1)' by Louis Sachar ??? http://buybook.com",2024-02-13
187,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,1932,4.4,"This book was SO BAD.  [spoiler]  'The Little House Collection (Little House, #1-9)' by Laura Ingalls Wilder !!! #reading",2024-12-06
188,The Neverending Story,Michael Ende,1979,3.2,This book was AMAZING.  [Review]  'The Neverending Story' by Michael Ende @@@ @friend,2024-01-12
189,"Ramona the Pest (Ramona, #2)",Beverly Cleary,1968,4.1,"This book was MAGICAL.  [spoiler]  'Ramona the Pest (Ramona, #2)' by Beverly Cleary ... 💯",2024-01-24
190,Hop On Pop,Dr. Seuss,1963,5.0,This book was SO BAD.  [skip this part]  'Hop On Pop' by Dr. Seuss ### @friend,2024-10-04
191,The Little House,Virginia Lee Burton,1942,5.0,This book was SO BAD.  [skip this part]  'The Little House' by Virginia Lee Burton ... @friend,2024-08-11
192,Harry the Dirty Dog,Gene Zion,1956,4.2,This book was BORING.  [Review]  'Harry the Dirty Dog' by Gene Zion ### 💯,2025-07-04
193,The Runaway Bunny,Margaret Wise Brown,1942,4.1,This book was MAGICAL.  [Review]  'The Runaway Bunny' by Margaret Wise Brown @@@ http://buybook.com,2024-08-18
194,Horton Hatches the Egg,Dr. Seuss,1940,4.2,This book was LOVED IT.  [spoiler]  'Horton Hatches the Egg' by Dr. Seuss !!! 💯,2023-01-31
195,"Bunnicula: A Rabbit-Tale of Mystery (Bunnicula, #1)",Deborah Howe,1979,2.9,"This book was MAGICAL.  [skip this part]  'Bunnicula: A Rabbit-Tale of Mystery (Bunnicula, #1)' by Deborah Howe @@@ @friend",2025-03-13
196,Stone Soup,Jon J. Muth,2003,4.2,This book was BORING.  [skip this part]  'Stone Soup' by Jon J. Muth ... http://buybook.com,2025-03-22
197,A Light in the Attic,Shel Silverstein,1981,5.0,This book was BORING.  [Review]  'A Light in the Attic' by Shel Silverstein @@@ 💯,2024-06-13
198,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,1999,4.6,"This book was LOVED IT.  [spoiler]  'Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)' by J.K. Rowling @@@ http://buybook.com",2025-01-27
199,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,1998,5.0,"This book was MAGICAL.  [skip this part]  'Harry Potter and the Chamber of Secrets (Harry Potter, #2)' by J.K. Rowling ### 💯",2023-12-24
200,The Three Billy Goats Gruff,Paul Galdone,1973,4.2,This book was BORING.  [skip this part]  'The Three Billy Goats Gruff' by Paul Galdone ??? #reading,2023-03-05
201,Where the Wild Things Are,Maurice Sendak,1963,5.0,This book was LOVED IT.  [spoiler]  'Where the Wild Things Are' by Maurice Sendak ### @friend,2023-06-04
202,The Very Hungry Caterpillar,Eric Carle,1969,4.3,This book was BORING.  [Review]  'The Very Hungry Caterpillar' by Eric Carle ??? 💯,2023-07-17
203,The Giving Tree,Shel Silverstein,1964,4.4,This book was MAGICAL.  [spoiler]  'The Giving Tree' by Shel Silverstein ... ✨,2023-05-26
204,Green Eggs and Ham,Dr. Seuss,1960,5.0,This book was SO BAD.  [skip this part]  'Green Eggs and Ham' by Dr. Seuss ### @friend,2025-01-12
205,Goodnight Moon,Margaret Wise Brown,1947,4.3,This book was SO BAD.  [note]  'Goodnight Moon' by Margaret Wise Brown ### 💯,2023-08-23
206,Charlotte’s Web,E.B. White,1952,4.2,This book was LOVED IT.  [spoiler]  'Charlotte’s Web' by E.B. White @@@ http://buybook.com,2025-04-11
207,"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,1957,4.2,"This book was LOVED IT.  [Review]  'The Cat in the Hat (Cat in the Hat, #1)' by Dr. Seuss @@@ 💯",2023-05-10
208,Where the Sidewalk Ends,Shel Silverstein,1974,4.3,This book was BORING.  [Review]  'Where the Sidewalk Ends' by Shel Silverstein !!! ✨,2023-01-13
209,If You Give a Mouse a Cookie,Laura Joffe Numeroff,1985,4.3,This book was LOVED IT.  [spoiler]  'If You Give a Mouse a Cookie' by Laura Joffe Numeroff ... http://buybook.com,2025-05-02
210,Love You Forever,Robert Munsch,1986,5.0,This book was MAGICAL.  [skip this part]  'Love You Forever' by Robert Munsch ### #reading,2024-05-11
211,Corduroy,Don Freeman,1968,4.3,This book was AMAZING.  [Review]  'Corduroy' by Don Freeman !!! 💯,2023-06-12
212,The Lorax,Dr. Seuss,1971,4.3,This book was SO BAD.  [note]  'The Lorax' by Dr. Seuss ... @friend,2024-03-16
213,Madeline,Ludwig Bemelmans,1939,4.3,This book was MAGICAL.  [note]  'Madeline' by Ludwig Bemelmans ... #reading,2025-05-22
214,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,1997,4.5,"This book was LOVED IT.  [spoiler]  'Harry Potter and the Sorcerer's Stone (Harry Potter, #1)' by J.K. Rowling ... ✨",2025-05-23
215,The Velveteen Rabbit,Margery Williams Bianco,1922,4.3,This book was MAGICAL.  [note]  'The Velveteen Rabbit' by Margery Williams Bianco ??? ✨,2025-04-17
216,How the Grinch Stole Christmas!,Dr. Seuss,1957,3.4,This book was AMAZING.  [skip this part]  'How the Grinch Stole Christmas!' by Dr. Seuss ??? http://buybook.com,2025-01-07
217,Curious George,H.A. Rey,1941,3.2,This book was BORING.  [note]  'Curious George' by H.A. Rey ??? 💯,2023-06-30
218,The Monster at the End of this Book,Jon Stone,1971,4.5,This book was MAGICAL.  [note]  'The Monster at the End of this Book' by Jon Stone !!! @friend,2024-12-18
219,Chicka Chicka Boom Boom,Bill Martin Jr. and John Archambault,1989,4.3,This book was BORING.  [Review]  'Chicka Chicka Boom Boom' by Bill Martin Jr. and John Archambault ... @friend,2023-07-29
220,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,1960,4.2,"This book was SO BAD.  [note]  'One Fish, Two Fish, Red Fish, Blue Fish' by Dr. Seuss !!! ✨",2025-01-07
221,The Little Prince,Antoine de Saint-Exupéry,1943,4.3,This book was LOVED IT.  [note]  'The Little Prince' by Antoine de Saint-Exupéry ### http://buybook.com,2024-12-07
222,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr. and Eric Carle,1966,5.0,"This book was LOVED IT.  [spoiler]  'Brown Bear, Brown Bear, What Do You See?' by Bill Martin Jr. and Eric Carle ### @friend",2025-07-27
223,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,1972,4.2,"This book was SO BAD.  [spoiler]  'Alexander and the Terrible, Horrible, No Good, Very Bad Day' by Judith Viorst ... 💯",2023-04-18
224,Matilda,Roald Dahl,1988,4.3,This book was AMAZING.  [spoiler]  'Matilda' by Roald Dahl ??? ✨,2024-01-16
225,"Harold and the Purple Crayon (Harold, #1)",Crockett Johnson,1955,3.3,"This book was MAGICAL.  [skip this part]  'Harold and the Purple Crayon (Harold, #1)' by Crockett Johnson !!! 💯",2024-06-27
226,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,1902,4.2,"This book was SO BAD.  [Review]  'The Tale of Peter Rabbit (World of Beatrix Potter, #1)' by Beatrix Potter @@@ ✨",2025-07-08
227,Are You My Mother?,P.D. Eastman,1960,3.2,This book was BORING.  [skip this part]  'Are You My Mother?' by P.D. Eastman ??? 💯,2024-06-07
228,"Frog and Toad Are Friends (Frog and Toad, #1)",Arnold Lobel,1970,3.2,"This book was BORING.  [note]  'Frog and Toad Are Friends (Frog and Toad, #1)' by Arnold Lobel ??? ✨",2024-08-06
229,"Oh, the Places You’ll Go!",Dr. Seuss,1990,4.4,"This book was AMAZING.  [Review]  'Oh, the Places You’ll Go!' by Dr. Seuss !!! @friend",2025-04-29
230,"Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",Judi Barrett,1978,5.0,"This book was BORING.  [Review]  'Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)' by Judi Barrett ... #reading",2025-01-13
231,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",A.A. Milne,1926,4.4,"This book was BORING.  [note]  'The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)' by A.A. Milne ... ✨",2024-03-01
232,The Secret Garden,Frances Hodgson Burnett,1911,3.2,This book was MAGICAL.  [Review]  'The Secret Garden' by Frances Hodgson Burnett ### 💯,2024-05-21
233,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,1865,5.0,This book was LOVED IT.  [note]  'Alice’s Adventures in Wonderland / Through the Looking-Glass' by Lewis Carroll ### ✨,2024-12-12
234,Guess How Much I Love You,Sam McBratney,1994,4.4,This book was SO BAD.  [skip this part]  'Guess How Much I Love You' by Sam McBratney ### @friend,2025-04-17
235,Horton Hears a Who!,Dr. Seuss,1954,4.2,This book was MAGICAL.  [skip this part]  'Horton Hears a Who!' by Dr. Seuss ### #reading,2025-07-20
236,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,1950,4.3,"This book was LOVED IT.  [Review]  'The Chronicles of Narnia (The Chronicles of Narnia, #1-7)' by C.S. Lewis @@@ 💯",2023-06-10
237,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,1945,4.2,"This book was MAGICAL.  [spoiler]  'Pippi Longstocking (Pippi Långstrump, #1)' by Astrid Lindgren ??? #reading",2023-01-12
238,The True Story of the 3 Little Pigs,Jon Scieszka,1989,5.0,This book was BORING.  [skip this part]  'The True Story of the 3 Little Pigs' by Jon Scieszka @@@ #reading,2023-05-17
239,The Little Engine That Could,Watty Piper,1930,4.2,This book was AMAZING.  [Review]  'The Little Engine That Could' by Watty Piper @@@ ✨,2023-07-15
240,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908,4.3,"This book was MAGICAL.  [skip this part]  'Anne of Green Gables (Anne of Green Gables, #1)' by L.M. Montgomery @@@ 💯",2025-06-28
241,"Amelia Bedelia (Amelia Bedelia, #1)",Peggy Parish,1963,4.2,"This book was SO BAD.  [Review]  'Amelia Bedelia (Amelia Bedelia, #1)' by Peggy Parish ... ✨",2023-06-12
242,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,1964,4.2,"This book was LOVED IT.  [Review]  'Charlie and the Chocolate Factory (Charlie Bucket, #1)' by Roald Dahl ### 💯",2025-03-31
243,"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,1937,4.3,"This book was BORING.  [skip this part]  'The Hobbit, or There and Back Again (The Lord of the Rings, #0)' by J.R.R. Tolkien ### 💯",2023-11-20
244,The BFG,Roald Dahl,1982,4.2,This book was LOVED IT.  [Review]  'The BFG' by Roald Dahl !!! 💯,2025-01-15
245,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,1992,3.2,This book was SO BAD.  [note]  'The Stinky Cheese Man and Other Fairly Stupid Tales' by Jon Scieszka ??? ✨,2025-08-16
246,Stellaluna,Janell Cannon,1993,3.3,This book was MAGICAL.  [note]  'Stellaluna' by Janell Cannon ### #reading,2024-09-30
247,The Poky Little Puppy,Janette Sebring Lowrey,1942,4.1,This book was MAGICAL.  [skip this part]  'The Poky Little Puppy' by Janette Sebring Lowrey ??? http://buybook.com,2023-07-29
248,Make Way for Ducklings,Robert McCloskey,1941,4.2,This book was AMAZING.  [Review]  'Make Way for Ducklings' by Robert McCloskey !!! ✨,2023-03-08
249,James and the Giant Peach,Roald Dahl,1961,3.0,This book was MAGICAL.  [spoiler]  'James and the Giant Peach' by Roald Dahl ### @friend,2023-06-06
250,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,1962,4.0,"This book was SO BAD.  [spoiler]  'A Wrinkle in Time (Time Quintet, #1)' by Madeleine L'Engle !!! #reading",2024-05-04
251,Don't Let the Pigeon Drive the Bus!,Mo Willems,2003,4.3,This book was LOVED IT.  [spoiler]  'Don't Let the Pigeon Drive the Bus!' by Mo Willems ### 💯,2024-04-17
252,The Polar Express,Chris Van Allsburg,1985,3.3,This book was MAGICAL.  [note]  'The Polar Express' by Chris Van Allsburg ??? #reading,2024-10-26
253,The Phantom Tollbooth,Norton Juster,1961,4.2,This book was MAGICAL.  [Review]  'The Phantom Tollbooth' by Norton Juster @@@ ✨,2024-07-17
254,"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,1932,3.2,"This book was AMAZING.  [Review]  'Little House in the Big Woods (Little House, #1)' by Laura Ingalls Wilder !!! #reading",2024-02-12
255,"Go, Dog. Go!",P.D. Eastman,1961,5.0,"This book was BORING.  [Review]  'Go, Dog. Go!' by P.D. Eastman ### @friend",2023-08-20
256,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,1900,3.0,"This book was MAGICAL.  [spoiler]  'The Wonderful Wizard of Oz (Oz, #1)' by L. Frank Baum ... ✨",2024-03-17
257,The Rainbow Fish,Marcus Pfister,1992,3.2,This book was SO BAD.  [Review]  'The Rainbow Fish' by Marcus Pfister ... #reading,2024-06-28
258,"The Giver (The Giver, #1)",Lois Lowry,1993,4.1,"This book was SO BAD.  [note]  'The Giver (The Giver, #1)' by Lois Lowry ... http://buybook.com",2025-01-03
259,The Story of Ferdinand,Munro Leaf,1936,3.4,This book was MAGICAL.  [Review]  'The Story of Ferdinand' by Munro Leaf @@@ #reading,2023-11-19
260,The Night Before Christmas,Clement Clarke Moore,1823,5.0,This book was MAGICAL.  [skip this part]  'The Night Before Christmas' by Clement Clarke Moore !!! http://buybook.com,2024-05-05
261,Bridge to Terabithia,Katherine Paterson,1977,4.0,This book was MAGICAL.  [Review]  'Bridge to Terabithia' by Katherine Paterson ... @friend,2024-12-08
262,Blueberries for Sal,Robert McCloskey,1948,4.2,This book was SO BAD.  [note]  'Blueberries for Sal' by Robert McCloskey ### http://buybook.com,2023-03-31
263,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,1940,5.0,"This book was AMAZING.  [spoiler]  'Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business' by Esphyr Slobodkina !!! 💯",2024-11-16
264,The Witches,Roald Dahl,1983,3.2,This book was MAGICAL.  [note]  'The Witches' by Roald Dahl ... #reading,2023-05-31
265,Clifford the Big Red Dog,Norman Bridwell,1963,5.0,This book was BORING.  [spoiler]  'Clifford the Big Red Dog' by Norman Bridwell !!! @friend,2024-02-16
266,Fox in Socks,Dr. Seuss,1965,4.1,This book was MAGICAL.  [skip this part]  'Fox in Socks' by Dr. Seuss @@@ 💯,2023-06-08
267,"Little Bear (Little Bear, #1)",Else Holmelund Minarik,1957,3.2,"This book was BORING.  [skip this part]  'Little Bear (Little Bear, #1)' by Else Holmelund Minarik !!! ✨",2024-01-10
268,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,4.2,"This book was AMAZING.  [spoiler]  'The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)' by C.S. Lewis ??? @friend",2024-03-03
269,The Paper Bag Princess,Robert Munsch,1980,4.3,This book was LOVED IT.  [spoiler]  'The Paper Bag Princess' by Robert Munsch @@@ ✨,2025-02-12
270,"The Snowy Day (Peter, #1)",Ezra Jack Keats,1962,5.0,"This book was AMAZING.  [Review]  'The Snowy Day (Peter, #1)' by Ezra Jack Keats ... #reading",2025-01-30
271,Tikki Tikki Tembo,Arlene Mosel,1968,4.2,This book was LOVED IT.  [note]  'Tikki Tikki Tembo' by Arlene Mosel ### http://buybook.com,2025-05-18
272,A Bad Case of Stripes (Scholastic Bookshelf),David Shannon,1998,4.3,This book was AMAZING.  [note]  'A Bad Case of Stripes (Scholastic Bookshelf)' by David Shannon ... ✨,2025-01-24
273,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,1926,3.4,"This book was SO BAD.  [spoiler]  'Winnie-the-Pooh (Winnie-the-Pooh, #1)' by A.A. Milne ??? @friend",2023-01-24
274,Chrysanthemum,Kevin Henkes,1991,5.0,This book was AMAZING.  [Review]  'Chrysanthemum' by Kevin Henkes !!! @friend,2025-06-25
275,"Miss Nelson Is Missing! (Miss Nelson, #1)",Harry Allard,1977,3.3,"This book was MAGICAL.  [note]  'Miss Nelson Is Missing! (Miss Nelson, #1)' by Harry Allard ??? 💯",2024-09-29
276,Falling Up,Shel Silverstein,1996,3.4,This book was SO BAD.  [skip this part]  'Falling Up' by Shel Silverstein ??? http://buybook.com,2024-06-24
277,"Click, Clack, Moo: Cows That Type",Doreen Cronin,2000,4.3,"This book was MAGICAL.  [skip this part]  'Click, Clack, Moo: Cows That Type' by Doreen Cronin ### ✨",2023-10-12
278,The Tale of Despereaux,Kate DiCamillo,2003,4.1,This book was AMAZING.  [Review]  'The Tale of Despereaux' by Kate DiCamillo ... ✨,2024-09-06
279,The Sneetches and Other Stories,Dr. Seuss,1961,5.0,This book was LOVED IT.  [note]  'The Sneetches and Other Stories' by Dr. Seuss ### 💯,2023-06-17
280,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,1967,4.2,This book was LOVED IT.  [note]  'From the Mixed-Up Files of Mrs. Basil E. Frankweiler' by E.L. Konigsburg ... ✨,2023-08-05
281,"The Story of Babar (Babar, #1)",Jean de Brunhoff,1931,4.1,"This book was SO BAD.  [spoiler]  'The Story of Babar (Babar, #1)' by Jean de Brunhoff ... 💯",2023-06-05
282,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,1980,4.9,"This book was LOVED IT.  [skip this part]  'The Indian in the Cupboard (The Indian in the Cupboard, #1)' by Lynne Reid Banks ### @friend",2025-03-15
283,The Adventures of Tom Sawyer,Mark Twain,1876,3.9,This book was AMAZING.  [Review]  'The Adventures of Tom Sawyer' by Mark Twain ... 💯,2023-07-16
284,"The Mouse and the Motorcycle (Ralph S. Mouse, #1)",Beverly Cleary,1965,4.0,"This book was SO BAD.  [Review]  'The Mouse and the Motorcycle (Ralph S. Mouse, #1)' by Beverly Cleary ### #reading",2024-07-10
285,"Olivia (Olivia, #1)",Ian Falconer,2000,5.0,"This book was LOVED IT.  [spoiler]  'Olivia (Olivia, #1)' by Ian Falconer !!! http://buybook.com",2023-01-10
286,"Sideways Stories from Wayside School (Wayside School, #1)",Louis Sachar,1978,4.2,"This book was LOVED IT.  [Review]  'Sideways Stories from Wayside School (Wayside School, #1)' by Louis Sachar ... #reading",2023-06-20
287,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,1932,3.4,"This book was MAGICAL.  [skip this part]  'The Little House Collection (Little House, #1-9)' by Laura Ingalls Wilder ??? #reading",2025-07-28
288,The Neverending Story,Michael Ende,1979,4.2,This book was AMAZING.  [skip this part]  'The Neverending Story' by Michael Ende ... 💯,2025-03-03
289,"Ramona the Pest (Ramona, #2)",Beverly Cleary,1968,4.1,"This book was SO BAD.  [note]  'Ramona the Pest (Ramona, #2)' by Beverly Cleary @@@ @friend",2024-10-13
290,Hop On Pop,Dr. Seuss,1963,4.0,This book was AMAZING.  [skip this part]  'Hop On Pop' by Dr. Seuss !!! 💯,2023-10-11
291,The Little House,Virginia Lee Burton,1942,4.3,This book was BORING.  [note]  'The Little House' by Virginia Lee Burton ??? ✨,2024-03-03
292,Harry the Dirty Dog,Gene Zion,1956,3.2,This book was BORING.  [skip this part]  'Harry the Dirty Dog' by Gene Zion ??? ✨,2024-04-04
293,The Runaway Bunny,Margaret Wise Brown,1942,4.1,This book was SO BAD.  [skip this part]  'The Runaway Bunny' by Margaret Wise Brown @@@ http://buybook.com,2023-03-23
294,Horton Hatches the Egg,Dr. Seuss,1940,3.2,This book was AMAZING.  [skip this part]  'Horton Hatches the Egg' by Dr. Seuss ... @friend,2024-03-15
295,"Bunnicula: A Rabbit-Tale of Mystery (Bunnicula, #1)",Deborah Howe,1979,2.9,"This book was LOVED IT.  [Review]  'Bunnicula: A Rabbit-Tale of Mystery (Bunnicula, #1)' by Deborah Howe ... @friend",2024-06-03
296,Stone Soup,Jon J. Muth,2003,4.2,This book was BORING.  [spoiler]  'Stone Soup' by Jon J. Muth ### #reading,2025-01-03
297,A Light in the Attic,Shel Silverstein,1981,4.4,This book was BORING.  [Review]  'A Light in the Attic' by Shel Silverstein @@@ 💯,2024-08-15
298,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,1999,4.6,"This book was LOVED IT.  [skip this part]  'Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)' by J.K. Rowling ... http://buybook.com",2025-04-03
299,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,1998,4.4,"This book was LOVED IT.  [Review]  'Harry Potter and the Chamber of Secrets (Harry Potter, #2)' by J.K. Rowling @@@ #reading",2025-04-25
300,The Three Billy Goats Gruff,Paul Galdone,1973,5.0,This book was BORING.  [note]  'The Three Billy Goats Gruff' by Paul Galdone !!! http://buybook.com,2024-10-06
301,Where the Wild Things Are,Maurice Sendak,1963,4.2,This book was LOVED IT.  [Review]  'Where the Wild Things Are' by Maurice Sendak @@@ ✨,2023-11-22
